Author_id,Author
373,Barbara Delinsky
374,P. D. James
375,Arthur W. Upfield
376,Christopher Rice
377,Rex Stout
378,Joan Anderson
379,Vance Havner
380,Warren W. Wiersbe
381,Max Lucado
382,Larry Crabb
383,Barry Neil Kaufman
384,Bob Sjogren
385,Frederick J. Moody
386,Neal Pirolo
387,William Sleator
388,Antoine De Saint-Exupery
389,Richard Bach
390,Kevin Sullivan
391,Michele Morgan
392,Scott Cunningham
393,David Allen Hulse
394,Richard Webster
395,Bernard King
396,Pat Hutchins
397,William Shakespeare
398,Roma Gill
399,Melissa Mcclone
400,Cheryl St. John
401,Lewis Carroll
402,Martin Gardner
403,Mark Twain
404,Mary Crow Dog
405,Richard Erdoes
406,Linda Gordon
407,Florence King
408,Alice Sebold
409,Spalding Gray
410,Thomas Harris
411,Edward Rutherfurd
412,Margaret Atwood
413,Dorothy Allison
414,Maya Angelou
415,Edith Wharton
416,Mary Brave Bird
417,John G. Neihardt
418,Vine Deloria Jr.
419,Roland Warren
420,Johnny Molloy
421,James Mccourt
422,Wayne Koestenbaum
423,Elizabeth Wurtzel
424,Bill Bradley
425,Don Miguel Ruiz
426,Paul Lester
427,Leo Tolstoy
428,Simon Nye
429,Robert A Johnson
430,Marc Gascoigne
431,Stephanie Maze
432,Sandra Dallas
433,Anne Mccaffrey
434,David Gemmell
435,Laura Zigman
436,Margaret Truman
437,Mark C. Young
438,Paula Danziger
439,Tony Ross
440,Richard A. Lupoff
441,Bruce Coville
442,Carrie A. Bebris
443,Ellen Carol Dubois
444,Candice F. Ransom
445,Sam Bobrick
446,Julie Stein
447,Price Stern Sloan
448,Anna
449,And Vogel
450,Malvina (Editor) Sewell
451,Marian Leighton
452,Donna K. Grosvenor
453,James L. Stanfield
454,Mary Wollstonecraft Shelley
455,D. J. Arneson
456,Eva Clif
457,Valerie Block
458,Luanne Rice
459,Ellen Gilchrist
460,Tim Gautreaux
461,Richard Russo
462,Jostein Gaarder
463,Anna Quindlen
464,Diane Johnson
465,Wally Lamb
466,Adeline Yen Mah
467,Barbara Ehrenreich
468,Dorothy Dunnett
469,John Lecarre
470,Singer Media Corporation
471,Emily Dickinson
472,Hazel Harrison
473,Joseph Girzone
474,Joseph F. Girzone
475,Lorraine Anderson
476,Ad Hudler
477,Josephine Carlton
478,Ted L. Nancy
479,Jerry Seinfeld
480,Francis Wheen
481,Ellen Rimbauer
482,Joyce Reardon
483,Steven Rimbauer
484,Sidney Sheldon
485,Christopher Moore
486,Pamela Johnson
487,Robert Lacey
488,Tim Dorsey
489,Jodi Compton
490,Elmore Leonard
491,Lynn Coady
492,John Lawton
493,Eileen Yin-Fei Lo
494,Tilden Edwards
495,Vikram Seth
496,Elizabeth Gaskell
497,Elizabeth Porges Watson
498,Anita Diamant
499,Lauren Haney
500,Gerald Stern
501,Martha Grimes
502,Henry James
503,Sarah Orne Jewett
504,William Carlos Williams
505,Rh Value Publishing
506,Harry Kemelman
507,Mil Millington
508,Suzanne G. Farnham
509,Joseph P. Gill
510,R. Taylor Mclean
511,Czeslaw Milosz
512,Margaret Guenther
513,Roberto Juarroz
514,Mary Crow
515,Hans Kmoch
516,Barnie F. Winkelman
517,Emma Mclaughlin
518,Nicola Kraus
519,Paul Jennings
520,Mark E. Neely Jr.
521,Stephen J. Weininger
522,Frank R. Stermitz
523,Larry Katzenstein
524,David Steinman
525,Alfie Kohn
526,Paula Polk Lillard
527,David Lewis
528,Billie Livingston
529,Adele Lang
530,Jen Banbury
531,Patricia Daniels Cornwell
532,Catherine Coulter
533,Dominick Dunne
534,Clive Cussler
535,John Pascal
536,Carl Hiaasen
537,Diane Stevenson
538,Jonathan Safran Foer
539,Francesca Marciano
540,Julia Glass
541,Tawni O'Dell
542,Jennifer Weiner
543,Danielle Steel
544,Leon Hale
545,Russell Banks
546,Samuel Taylor Coleridge
547,Bradley P Warshauer
548,Bradley P. Warshauer
549,Bobbie Ann Mason
550,Karen Robards
551,Emma Lathen
552,Faye Kellerman
553,Jacquelyn Mitchard
554,Diane Mott Davidson
555,Candace Bushnell
556,Kristin Hannah
557,Michael Marshall
558,Allen Widome
559,Wilbur Smith
560,Mike Thaler
561,Jared Lee
562,Michael Slade
563,John Sandford
564,John Camp
565,Tami Hoag
566,Ted Dekker
567,Angela Hunt
568,C. S. Lewis
569,C. S Lewis
570,Will Eisner
571,Robin Cook
572,E. Lynn Harris
573,Linda Goodman
574,Anne Rice
575,Judith Rossner
576,Marilyn French
577,Wayne W. Dyer
578,Armistead Maupin
579,Julie Morgenstern
580,Peter Straub
581,James Maybrick
582,Shirley Harrison
583,Barbara Taylor Bradford
584,Lisa Jackson
585,Sharyn Mccrumb
586,Cokie Roberts
587,Shana Corey
588,Mark Teague
589,Jesse S. Ostrow
590,Charles Shaw
591,Justine Korman
592,Bill Langley
593,Ron Dias
594,Walt Disney P
595,Patricia Reilly Giff
596,Beverly Cleary
597,K.A. Applegate
598,Jane Yolen
599,Golden Books
600,Marvin Miller
601,Craig Boldman
602,H. G. Wells
603,Raymond James
604,Jim Deal
605,Bobbie Kalman
606,Mercedes Lackey
607,Dorothy Gilman
608,Moveon.Org
609,Christopher Finch
610,Charles Frazier
611,Julia Spencer-Fleming
612,Fannie Flagg
613,Laura Ingall Wilder
614,Brooke Zimmer
615,John Fontana
616,Lisa Gardner
617,Tracy Dockray
618,Gertrude Chandler Warner
619,Lynn S. Hightower
620,Eric Schlosser
621,Suzanne Brockmann
622,Gail Carson Levine
623,Frances Kuffel
624,Susan Conant
625,David Schickler
626,Judith Mcnaught
627,Janet Evanovich
628,Sylvia Plath
629,Ilona Koidahl
630,Fern Michaels
631,Betsy Byars
632,Bruce Sterling
633,Sarah Ban Breathnach
634,Alice Hoffman
635,Lisa Scottoline
636,Spencer Johnson
637,Kenneth Blanchard
638,David Feldman
639,Kas Schwan
640,Richard Bausch
641,Katie Fforde
642,James Burke
643,Bliss Broyard
644,Sara Paretsky
645,Charles Webb
646,Elizabeth Benedict
647,Stanley Morison; Brooke Crutchley (Editor); Mike P
648,Henry Miller
649,David Whyte
650,Thomas Cummings
651,Warren Bennis
652,Gretchen M. Spreitze
653,Martha Beck
654,Desmond Tutu
655,Clayborne Carson
656,Kris Shepard
657,Andrew Young
658,Jack Kerouac
659,Ann Charters
660,Martin Buber
661,Walter Kaufmann
662,Niccolò Machiavelli
663,N. H. Thompson
664,Paul Monette
665,Ernest Hemingway
666,Melody Carlson
667,Alisa Kwitney
668,Billie Letts
669,Melissa Bank
670,Rena Kornreich Gelissen
671,Heather Dune Macadam
672,Moon Unit Zappa
673,Ted Mooney
674,Susan Wiggs
675,Gwyn Hyman Rubio
676,Elisabeth Robinson
677,Audrey Niffenegger
678,Tim Farrington
679,Chaim Potok
680,Scott Spencer
681,V. S. Naipaul
682,Jean Giono
683,Anne-Marie Marina-Médiavilla
684,Alain-Fournier
685,Daniel Leuwers
686,Erich Maria Remarque
687,Alzir Hella
688,Olivier Bournac
689,Roy Lewis
690,René Barjavel
691,Alexandra David-Néel
692,Charles Baudelaire
693,Marie-Jeanne Durry
694,Yves Florenn
695,Jacques Chambon
696,Henri Robillot
697,Radiguet
698,Emile Zola
699,Henri Mitterand
700,Willi Glasauer
701,Louis Pergaud
702,Collectif
703,Robert A. (Anson) Heinlein
704,Sten Nadolny
705,Cheryl Benard
706,Edit Schlaffer
707,Christa Wichterich
708,John Blofeld
709,Christine Obbo
710,Peter B Heim
711,Hera Lind
712,Jane Hamilton
713,Jack Higgins
714,Max Allan Collins
715,David Guterson
716,Bernhard Schlink
717,Carol Brown Janeway
718,Eric Jerome Dickey
719,Patricia Gaffney
720,Richard Paul Evans
721,Marc Levy
722,Laney Katz Becker
723,Vladimir Nabokov
724,Jennifer Lauck
725,Joe Keenan
726,Jeanne Ray
727,Tony Parsons
728,Jane Mccafferty
729,Laura Esquivel
730,Cathleen Toelke
731,Carol &Amp; Thomas
732,J.R.R. Tolkien
733,Venise Berry
734,Jan Karon
735,Cormac Mccarthy
736,Carol Higgins Clark
737,Andrew Gross
738,Travis Thrasher
739,John Mcenroe
740,John Kaplan
741,Sally Mandel
742,Linda Lay Shuler
743,Janet Dailey
744,Claude Lanzmann
745,Simone De Beauvoir
746,Lemony Snicket
747,Brett Helquist
748,Matthew Thomas
749,Boris Vian
750,Noël Arnaud
751,Claude Couffon
752,Luis Sepulveda
753,Hubert Selby
754,Jacob Weisberg
755,David Lodge
756,Lily Seafield
757,Philip Ardagh
758,Iain Banks
759,David Crombie
760,John Steinbeck
761,Michael O'Mara
762,Richard Brassey
763,William Vance
764,Jean Van Hamme
765,R. W. Holder
766,From The Editors Of Southwater
767,Bernard Werber
768,Andy Sloss
769,Allan Zola Kronzek
770,Elizabeth Kronzek
771,Charles L Squire
772,Gordon Jarvie
773,Alan Spence
774,Helene Siegel
775,Karen Gillingham
776,A A Milne
777,A. A. Milne
778,Eric Thompson
779,Elizabeth Strout
780,David Sedaris
781,Leslie Feinberg
782,Chris Anne Wolfe
783,Lauren Sanders
784,Gael Baudino
785,Lauren Maddison
786,Carol Anshaw
787,Jean Stewart
788,Emma Donoghue
789,Deborah E. Mcdowell
790,Karen X. Tulchinsky
791,Jill Thompson
792,Jody Seay
793,Manda Scott
794,Jeff Foxworthy
795,Terry Brooks
796,A.C. Crispin
797,Madelyn Arnold
798,Tamora Pierce
799,Carolyn Chute
800,Sara Orwig
801,Melisa Michaels
802,Isobel Bird
803,Frederik Pohl
804,C. M. Kornbluth
805,Vonda Mcintyre
806,John Varley
807,Nancy Garden
808,Nicola Griffith
809,Julie Campbell
810,Lee Smith
811,Jacqueline Woodson
812,Pat Summitt
813,Richard Belzer
814,Nick Hornby
815,Andrew L Johnson
816,Marian Babson
817,Kathleen O'Neal Gear
818,W. Michael Gear
819,Paul Phifer
820,Peter Hoeg
821,Erma Bombeck
822,John Mortimer
823,E.L. Doctorow
824,Simon Schama
825,Frank Waters
826,Karen Hesse
827,Kenneth Oppel
828,S.D. Schindler
829,Carol Ryrie Brink
830,Richard Mantel
831,K. A. Applegate
832,Pauline Baynes
833,Shelly Roberts
834,Diane Duane
835,Carolee Brockman
836,Rachel Roberts
837,Shelley Roberts
838,Lensey Namioka
839,Jackie Eileen Behrend
840,Andrew Clements
841,Brian Selznick
842,Lois Lowry
843,Brother Yun
844,Paul Hattaway
845,Katherine Khodorowsky
846,Milena Moser
847,Patricia Highsmith
848,Gabriele Conrad
849,Lore Straßl
850,Jürgen Speh
851,Till R. Lohmeyer
852,Gabriele
853,Stephen R. Donaldson
854,Todd Herzog
855,Sander Gilman
856,John Borneman
857,Robert S. Mcelvaine
858,Bram Stoker
859,Michael A. Stackpole
860,Langston Hughes
861,Carol Matthews
862,Carole Matthews
863,Jacqueline L. Tobin
864,Raymond G. Dobard
865,Maude S. Wah
866,Marion Zimmer Bradley
867,Andrei Codrescu
868,Carolyne Aarsen
869,Jack Chapman
870,Anthony J Alessandra
871,Charles R Swindoll
872,Orson Scott Card
873,V. A. Howard
874,J. H. Barton
875,Steve Pieczenik
876,Walter P. Wilson
877,Bruce Fries
878,Marty Fries
879,Rush Limbaugh
880,Anne Dingus
881,Kate Chopin
882,Kirk Kazanjian
883,Donald Merriam Allen
884,William R. Maples
885,Michael Browning
886,Carl Hausman
887,Richard Peck
888,Michael Connelly
889,John Lescroart
890,John Jakes
891,Alice Mcdermott
892,Hilary Bailey
893,Howard Fast
894,Jessica Fletcher
895,Donald Bain
896,Eileen Goudge
897,Arnette Lamb
898,Piers A. Jacob
899,Michael Schulte
900,Walter Cronkite
901,Tom Mula
902,Lois Faye Dyer
903,Sharon Lamb
904,Sir Arthur Conan Doyle
905,Agatha Christie
906,Mark Cohen
907,Sherry Shahan
908,Betsy Haynes
909,Helen R. Myers
910,Della Rowland
911,Irving Adler
912,Elizabeth Peters
913,Shirlee Busbee
914,Emily Brontë
915,Frank Peretti
916,John A. Keel
917,Jan Gabriel
918,Rebecca Winters
919,Meg Cabot
920,Tanith Lee
921,Cathy Thacker
922,Richard Burton
923,Beverly Hastings
924,Savinien Cyrano De Bergerac
925,G. Strachan
926,James C. Robertson
927,Teresa Southwick
928,Barbara H. Solomon
929,Judith Guest
930,Sandra Field
931,Helen Brooks
932,Blanche Fisher Wright
933,Blanche Fish Wright
934,George Gately
935,Dean R. Koontz
936,James Lee Burke
937,Michael Chabon
938,Barbara Michaels
939,Norton Juster
940,Jules Feiffer
941,Michael Blake
942,John Bellairs
943,Carole Nelson Douglas
944,William Goldman
945,Marc Reisner
946,Mark Bowden
947,Jonathan Pearce
948,Emily Bronte
949,Alain De Botton
950,Chuck Palahniuk
951,E. Annie Proulx
952,Adam Davies
953,Harry M. Walker
954,Nicholas Evans
955,L.M. Montgomery
956,Hermann Vinke
957,David Mitchell
958,Charles Bukowski
959,Haruki Murakami
960,Jay Rubin
961,Frances Hodgson Burnett
962,Gabriela Dellosso
963,Patricia C. Wrede
964,Jack London
965,Alex Kershaw
966,Bruce Wilkinson
967,David Kopp
968,Malcolm Goodway
969,Ann-Marie Macdonald
970,Linda Howard
971,Sue Miller
972,Sheri S. Tepper
973,Dr. Seuss
974,Theodor Seuss Geisel
975,Tobias Wolff
976,Isaac Bashevis Singer
977,Maurice Sendak
978,Gary Zukav
979,Alfred H. Kelly
980,Herman Belz
981,Winifred A. Harbison
982,John M. Cooper
983,D. S. Hutchinson
984,John M. Coop
985,B Kliban
986,Judy Blunt
987,William Trevor
988,Alice Walker
989,Stephen Gazi
990,Wallace Stegner
991,Don Delillo
992,Ralph Ellison
993,Shel Silverstein
994,Jhumpa Lahiri
995,Liz Trigg
996,Tessa Evelegh
997,Stewart Walton
998,Sally Walto
999,Charles Sullivan
1000,Tom Robbins
1001,Ursula Hegi
1002,Samuel Richardson
1003,George Sherburn
1004,Valerie Martin
1005,Gill Farrer-Halls
1006,John Mordock
1007,Myron Korach
1008,Susan Bowes
1009,Diana Gabaldon
1010,Zadie Smith
1011,Natalie Goldberg
1012,Sue Grafton
1013,William J. Kennedy
1014,Bob Shacochis
1015,Randy Alcorn
1016,Nancy Cobb
1017,Connie Grigsby
1018,Margriet De Moor
1019,Helga Van Beuningen
1020,Dale Carnegie
1021,Clifford Stoll
1022,Sandra Cisneros
1023,Gary Paulsen
1024,Marguerite Henry
1025,Wesley Dennis
1026,Sherry Garland
1027,Ann Druyan
1028,Kimberly Kirberger
1029,Ariella Papa
1030,Michael J. Rosen
1031,Dawn Chipman
1032,Pamela Nelson
1033,Mari Florence
1034,Naomi Wax
1035,Shannon Olson
1036,Naylor
1037,Karen Stolz
1038,Clare Naylor
1039,Stephen Chbosky
1040,Margaret Weis
1041,Tracy Hickman
1042,Ivan Doig
1043,Margaret Sayers Peden
1044,Sylvia Nasar
1045,Ha Jin
1046,Elizabeth Laird
1047,Harlan Ellison
1048,Margaret Sayers Peden From The Span
1049,David M. Gitlitz
1050,Dr. Linda Kay Davidson
1051,Wolfgang Hohlbein
1052,Christoph Hein
1053,Gaby Hauptmann
1054,Carolyn See
1055,Christa Wolf
1056,Thomas Brussig
1057,Piers Vitebsky
1058,Christopher A. Weidner
1059,Robert Silverberg
1060,Gabriele Haefs
1061,Christopher Tolkien
1062,H.P. Lovecraft
1063,Pamela Grim
1064,Arthur C. Clarke
1065,Jay Bennett
1066,J. Applegate
1067,Michael J. Straczynski
1068,John Myers Myers
1069,Reay Tannahill
1070,Jack Whyte
1071,Peter Matthiessen
1072,Paul Kent
1073,Robin Mckinley
1074,Patricia Mckillip
1075,Joan Vinge
1076,James
1077,Hank Whittemore
1078,Caroline Hebard
1079,Ellyn Satter
1080,Bill Brittain
1081,August Wilson
1082,Marilynne Robinson
1083,Sigrid Nunez
1084,Paul Auster
1085,Amanda Scott
1086,John Fowles
1087,Fodor'S
1088,A'Lelia Bundles
1089,Dorothy L. Sayers
1090,Jude Deveraux
1091,Anne Morrow Lindbergh
1092,Laurie R. King
1093,Jeanne Duprau
1094,Louise Erdrich
1095,Melinda Haynes
1096,Belle Yang
1097,Carol Shields
1098,Tim Powers
1099,Jean Lorrah
1100,John Beer
1101,Cordula Swoboda Herzog
1102,Barbara Erskine
1103,Annegrit Arens
1104,Susanne Höbel
1105,Hans J. Alpers
1106,Jerome D. Salinger
1107,Hermann Hesse
1108,Claudia Von Zglinicki
1109,Thorsten Futh
1110,Linda Lael Miller
1111,Anna Jennet
1112,Elaine Crawford
1113,Dian
1114,Jane Feather
1115,William R. Forstchen
1116,Spider Robinson
1117,Dennis L. Mckiernan
1118,Rush
1119,Lionel Fenn
1120,Carole Halston
1121,Christine Rimmer
1122,Bj James
1123,Truman Capote
1124,Beth Nimmo
1125,Darrell Scott
1126,Steve Rabey
1127,Johann Wolfgang Von Goethe
1128,Michael Hulse
1129,Michael H
1130,Thomas Elsaesser
1131,Adrian Plass
1132,Bridget Plass
1133,Stephen Quirke
1134,James Herbert
1135,William Sutcliffe
1136,Janosch
1137,Jean De Brunhoff
1138,Jean Debrunhoff
1139,Philippe Fix
1140,Claudia Keller
1141,F. Paul Wilson
1142,Wulf Bergner
1143,Arnold A. Lazarus
1144,Clifford N. Lazarus
1145,Christoph Tr
1146,Clarissa Pinkola Estés
1147,Mascha Rabben
1148,Virginia Allen Jensen
1149,Dorcas Woodbury Haller
1150,John Paul Allen
1151,Alan M. Clark
1152,Hubert Jr Selby
1153,G. B. Trudeau
1154,Gary Larson
1155,Garrison Keillor
1156,Berke Breathed
1157,Barbara Ann Kipfer
1158,Stephen Fried
1159,George Stephanopoulos
1160,Rita Mae Brown
1161,Elaine Showalter
1162,Elaine Showalte
1163,Cornelia Funke
1164,Oliver Latsch
1165,Stan Lee
1166,J Kirby
1167,Camille Paglia
1168,James Kahn
1169,Devra Newberger Speregen
1170,Richard
1171,James Mcbride
1172,Louis Sachar
1173,Adam Mccauley
1174,Eric Van Lustbader
1175,Robert Asprin
1176,B.M. Mooyaart
1177,Eleanor Roosevelt
1178,Marshall Govindan
1179,Nomi Eve
1180,Bruce Catton
1181,William Gibson
1182,Clement Eaton
1183,H.G. Wells
1184,Darrell K. Sweet
1185,Judy Collins
1186,Oliver Sacks
1187,Annette Broadrick
1188,Rachel Cohn
1189,Carolyn Keene
1190,Rachel Naomi Remen
1191,Jayne Ann Krentz
1192,Joan Smith
1193,Kaye Gibbons
1194,Bryn C. Collins
1195,Peter Jennings
1196,Todd Brewster
1197,Eliza Osborne
1198,Howard Norman
1199,John Griesemer
1200,Marly A. Swick
1201,John L'Heureux
1202,Molly Ivins
1203,Forrest Carter
1204,Umberto Eco
1205,Greg Bear
1206,Kathy Reichs
1207,Jeffrey Deaver
1208,Martin Cruz Smith
1209,V.C. Andrews
1210,Stephen Hill
1211,E.W. Heine
1212,Donna Fletcher
1213,Jeanne Larsen
1214,Bari Wood
1215,James Gould Cozzens
1216,Reidar Jonsson
1217,Marianne Ruuth
1218,June Vendall Clark
1219,Robert Reilly
1220,Kem Nunn
1221,Larry King
1222,Ernest J. Gaines
1223,Anne Lamott
1224,Bret Lott
1225,Zora Neale Hurston
1226,Jude Fisher
1227,Salman Rushdie
1228,G. P. Taylor
1229,Bill Bryson
1230,Ron Walotsky
1231,Judy Astley
1232,Roger E. Allen
1233,Margaret Tempest
1234,Maureen Bradley
1235,James Barclay
1236,Kahlil Gibran
1237,Libby Purves
1238,Jane Kirkpatrick
1239,Tess Gerritsen
1240,Olive Ann Burns
1241,Michael Ende
1242,Ralph Manheim
1243,Annie Proulx
1244,Corrie Ten Boom
1245,John Sherrill
1246,Elizabeth Sherrill
1247,Bodie Thoene
1248,Brock Thoene
1249,Marlo Schalesky
1250,Michael Paterniti
1251,Dorothy R. Miller
1252,Steve Martin
1253,Banana Yoshimoto
